id,queue_name,entity_id,entity_table,action,simulation_time,simulation_datetime,priority,queue_length_before,queue_length_after,wait_time
69,FIFOQueue,9,Project,entry,1499.0209610554969,2024-01-02 00:59:01.257663,,0,1,
70,FIFOQueue,9,Project,exit,1499.0209610554969,2024-01-02 00:59:01.257663,,1,0,0.0
71,FIFOQueue,10,Project,entry,1541.8257409535076,2024-01-02 01:41:49.544457,,0,1,
72,FIFOQueue,10,Project,exit,1541.8257409535076,2024-01-02 01:41:49.544457,,1,0,0.0
73,FIFOQueue,14,Project,entry,1560.640380660436,2024-01-02 02:00:38.422840,,0,1,
74,FIFOQueue,14,Project,exit,1560.640380660436,2024-01-02 02:00:38.422840,,1,0,0.0
75,FIFOQueue,14,Project,entry,1609.8326919762308,2024-01-02 02:49:49.961519,,0,1,
76,FIFOQueue,14,Project,exit,1609.8326919762308,2024-01-02 02:49:49.961519,,1,0,0.0
77,FIFOQueue,11,Project,entry,1612.5927898681362,2024-01-02 02:52:35.567392,,0,1,
78,FIFOQueue,11,Project,exit,1612.5927898681362,2024-01-02 02:52:35.567392,,1,0,0.0
79,FIFOQueue,12,Project,entry,1684.981518778923,2024-01-02 04:04:58.891127,,0,1,
80,FIFOQueue,12,Project,exit,1684.981518778923,2024-01-02 04:04:58.891127,,1,0,0.0
81,FIFOQueue,13,Project,entry,1746.6502676608345,2024-01-02 05:06:39.016060,,0,1,
82,FIFOQueue,13,Project,exit,1746.6502676608345,2024-01-02 05:06:39.016060,,1,0,0.0
83,FIFOQueue,15,Project,entry,1770.9519898222804,2024-01-02 05:30:57.119389,,0,1,
84,FIFOQueue,15,Project,exit,1770.9519898222804,2024-01-02 05:30:57.119389,,1,0,0.0
85,FIFOQueue,16,Project,entry,1801.5844435066795,2024-01-02 06:01:35.066610,,0,1,
86,FIFOQueue,16,Project,exit,1801.5844435066795,2024-01-02 06:01:35.066610,,1,0,0.0
87,FIFOQueue,15,Project,entry,1823.3864047295915,2024-01-02 06:23:23.184284,,0,1,
88,FIFOQueue,15,Project,exit,1823.3864047295915,2024-01-02 06:23:23.184284,,1,0,0.0
89,FIFOQueue,14,Project,entry,1839.0017690195114,2024-01-02 06:39:00.106141,,0,1,
90,FIFOQueue,14,Project,exit,1839.0017690195114,2024-01-02 06:39:00.106141,,1,0,0.0
91,FIFOQueue,16,Project,entry,1868.2875302376156,2024-01-02 07:08:17.251814,,0,1,
92,FIFOQueue,16,Project,exit,1868.2875302376156,2024-01-02 07:08:17.251814,,1,0,0.0
93,FIFOQueue,15,Project,entry,1960.04068430301,2024-01-02 08:40:02.441058,,0,1,
94,FIFOQueue,15,Project,exit,1960.04068430301,2024-01-02 08:40:02.441058,,1,0,0.0
95,FIFOQueue,17,Project,entry,1975.5923535613617,2024-01-02 08:55:35.541214,,0,1,
96,FIFOQueue,17,Project,exit,1975.5923535613617,2024-01-02 08:55:35.541214,,1,0,0.0
97,FIFOQueue,18,Project,entry,1999.719500228062,2024-01-02 09:19:43.170014,,0,1,
